front,front_sub,front_romaji,back,back_romaji,example_jp,example_romaji,example_en
食べる,,taberu,食べられる,taberareru,ケーキが食べられた。,Keeki ga taberareta.,The cake was eaten.
飲む,,nomu,飲まれる,nomareru,ビールが全部飲まれた。,Biiru ga zenbu nomareta.,All the beer was drunk.
書く,,kaku,書かれる,kakareru,手紙が書かれた。,Tegami ga kakareta.,The letter was written.
読む,,yomu,読まれる,yomareru,本が読まれた。,Hon ga yomareta.,The book was read.
する,,suru,される,sareru,準備がされた。,Junbi ga sareta.,The preparations were done.
聞く,,kiku,聞かれる,kikareru,質問を聞かれた。,Shitsumon wo kikareta.,I was asked a question.
怒る,,okoru,怒られる,okorareru,先生に怒られた。,Sensei ni okorareta.,I was scolded by the teacher.
盗む,,nusumu,盗まれる,nusumareru,財布を盗まれた。,Saifu wo nusumareta.,My wallet was stolen.
踏む,,fumu,踏まれる,fumareru,電車で足を踏まれた。,Densha de ashi wo fumareta.,My foot was stepped on in the train.
笑う,,warau,笑われる,warawareru,みんなに笑われた。,Minna ni warawareta.,I was laughed at by everyone.
呼ぶ,,yobu,呼ばれる,yobareru,名前を呼ばれた。,Namae wo yobareta.,My name was called.
褒める,,homeru,褒められる,homerareru,先生に褒められた。,Sensei ni homerareta.,I was praised by the teacher.
頼む,,tanomu,頼まれる,tanomareru,仕事を頼まれた。,Shigoto wo tanomareta.,I was asked to do the job.
起こす,,okosu,起こされる,okosarereru,朝早く起こされた。,Asa hayaku okosareta.,I was woken up early.
くる,,kuru,こられる,korareru,急に来られて困った。,Kyuu ni korarete komatta.,I was troubled by them coming suddenly.
押す,,osu,押される,osareru,電車の中で押された。,Densha no naka de osareta.,I was pushed on the train.
叱る,,shikaru,叱られる,shikarareru,上司に叱られた。,Joushi ni shikarareta.,I was scolded by my boss.
使う,,tsukau,使われる,tsukawareru,道具として使われた。,Dougu to shite tsukawareta.,I was used as a tool.
