front,front_sub,front_romaji,back,back_romaji,example_jp,example_romaji,example_en
食べる,,taberu,食べよう,tabeyou,一緒に食べよう！,Issho ni tabeyou!,Let's eat together!
飲む,,nomu,飲もう,nomou,コーヒーを飲もう。,Koohii wo nomou.,Let's drink coffee.
書く,,kaku,書こう,kakou,手紙を書こう。,Tegami wo kakou.,Let's write a letter.
読む,,yomu,読もう,yomou,この本を読もう。,Kono hon wo yomou.,Let's read this book.
する,,suru,しよう,shiyou,勉強しよう！,Benkyou shiyou!,Let's study!
くる,,kuru,こよう,koyou,一緒に来よう。,Issho ni koyou.,Let's come together.
行く,,iku,行こう,ikou,東京に行こう！,Tokyo ni ikou!,Let's go to Tokyo!
見る,,miru,見よう,miyou,映画を見よう。,Eiga wo miyou.,Let's watch a movie.
話す,,hanasu,話そう,hanasou,後で話そう。,Ato de hanasou.,Let's talk later.
待つ,,matsu,待とう,matou,ここで待とう。,Koko de matou.,Let's wait here.
帰る,,kaeru,帰ろう,kaerou,もう帰ろう。,Mou kaerou.,Let's go home already.
寝る,,neru,寝よう,neyou,早く寝よう。,Hayaku neyou.,Let's sleep early.
始める,,hajimeru,始めよう,hajimeyou,さあ、始めよう！,"Saa, hajimeyou!","Alright, let's begin!"
頑張る,,ganbaru,頑張ろう,ganbarou,一緒に頑張ろう！,Issho ni ganbarou!,Let's do our best together!
考える,,kangaeru,考えよう,kangaeyou,もっと考えよう。,Motto kangaeyou.,Let's think more.
休む,,yasumu,休もう,yasumou,少し休もう。,Sukoshi yasumou.,Let's rest a little.
聞く,,kiku,聞こう,kikou,音楽を聞こう。,Ongaku wo kikou.,Let's listen to music.
遊ぶ,,asobu,遊ぼう,asobou,公園で遊ぼう。,Kouen de asobou.,Let's play at the park.
諦める,,akirameru,諦めよう,akirameyou,もう諦めよう。,Mou akirameyou.,Let's give up already.
